 Date Time Temp Humidity Light
9-10-2017 840 22 74 451
9-10-2017 845 22 74 481
9-10-2017 850 22 73 505
9-10-2017 855 22 73 472
9-10-2017 860 21 69 455
9-10-2017 865 22 71 431
9-10-2017 870 22 71 426
9-10-2017 875 22 71 429
9-10-2017 880 22 70 448
9-10-2017 885 21 69 463
9-10-2017 890 21 70 467
9-10-2017 895 22 69 501
9-10-2017 900 21 70 529
9-10-2017 905 21 69 579
9-10-2017 910 21 70 616
9-10-2017 915 21 70 634
9-10-2017 920 21 70 645
9-10-2017 925 22 70 655
9-10-2017 930 22 70 654
9-10-2017 935 22 70 627
9-10-2017 940 22 70 629
9-10-2017 945 22 70 612
9-10-2017 950 21 70 606
9-10-2017 955 21 70 667
9-10-2017 960 22 70 739
9-10-2017 965 22 70 770
9-10-2017 970 22 71 784
9-10-2017 975 22 71 797
9-10-2017 980 22 71 798
9-10-2017 985 21 71 797
9-10-2017 990 22 71 843
9-10-2017 995 22 71 844
9-10-2017 1000 22 71 346
9-10-2017 1005 22 71 367
9-10-2017 1010 22 71 364
9-10-2017 1015 22 72 361
9-10-2017 1020 22 72 358
9-10-2017 1025 22 73 357
9-10-2017 1030 21 73 358
9-10-2017 1035 21 74 356
9-10-2017 1040 21 75 355
9-10-2017 1045 21 75 356
9-10-2017 1050 21 75 358
9-10-2017 1055 22 76 361
9-10-2017 1060 22 76 353
9-10-2017 1065 22 76 350
9-10-2017 1070 22 77 352
9-10-2017 1075 22 76 348
9-10-2017 1080 22 78 351
9-10-2017 1085 22 78 356
9-10-2017 1090 22 79 346
9-10-2017 1095 22 79 348
9-10-2017 1100 22 79 351
9-10-2017 1105 22 79 354
9-10-2017 1110 22 79 350
9-10-2017 1115 22 79 350
9-10-2017 1120 22 79 351
9-10-2017 1125 22 79 350
9-10-2017 1130 22 79 348
9-10-2017 1135 23 79 349
9-10-2017 1140 23 79 340
9-10-2017 1145 22 80 342
9-10-2017 1150 22 80 349
9-10-2017 1155 22 80 343
9-10-2017 1160 22 80 343
9-10-2017 1165 22 80 344
9-10-2017 1170 22 80 343
9-10-2017 1175 22 80 344
9-10-2017 1180 22 80 347
9-10-2017 1185 23 81 346
9-10-2017 1190 23 81 346
9-10-2017 1195 23 81 346
9-10-2017 1200 23 81 345
9-10-2017 1205 23 81 350
9-10-2017 1210 22 80 346
9-10-2017 1215 22 80 347
9-10-2017 1220 22 78 348
9-10-2017 1225 22 77 346
9-10-2017 1230 23 77 349
9-10-2017 1235 22 75 347
9-10-2017 1240 24 75 348
9-10-2017 1245 22 74 346
9-10-2017 1250 22 75 345
9-10-2017 1255 22 75 344
9-10-2017 1260 22 74 345
9-10-2017 1265 22 75 349
9-10-2017 1270 24 75 350
9-10-2017 1275 24 75 350
9-10-2017 1280 22 75 347
9-10-2017 1285 22 74 350
9-10-2017 1290 22 74 345
9-10-2017 1295 22 73 346
9-10-2017 1300 22 73 348
9-10-2017 1305 22 73 348
9-10-2017 1310 22 73 345
9-10-2017 1315 22 73 347
9-10-2017 1320 22 73 344
9-10-2017 1325 23 72 347
9-10-2017 1330 23 72 281
9-10-2017 1335 23 72 284
9-10-2017 1340 23 71 283
9-10-2017 1345 23 71 284
9-10-2017 1350 23 71 283
9-10-2017 1355 23 71 282
9-10-2017 1360 23 70 281
9-10-2017 1365 23 71 280
9-10-2017 1370 23 71 286
9-10-2017 1375 23 70 288
9-10-2017 1380 22 71 280
9-10-2017 1385 23 70 281
9-10-2017 1390 23 70 281
9-10-2017 1395 23 70 281
9-10-2017 1400 23 70 280
9-10-2017 1405 23 70 280
9-10-2017 1410 23 70 285
9-10-2017 1415 23 70 280
9-10-2017 1420 23 70 283
9-10-2017 1425 23 70 280
9-10-2017 1430 23 70 288
9-10-2017 1435 22 70 285
10-10-2017 0 22 70 284
10-10-2017 5 23 69 284
10-10-2017 10 23 70 283
10-10-2017 15 23 70 282
10-10-2017 20 22 70 283
10-10-2017 25 23 70 282
10-10-2017 30 22 70 285
10-10-2017 35 22 70 285
10-10-2017 40 23 70 343
10-10-2017 45 22 70 345
10-10-2017 50 22 70 763
10-10-2017 55 23 70 792
10-10-2017 60 23 70 1006
10-10-2017 65 22 71 1006
10-10-2017 70 23 70 1006
10-10-2017 75 23 70 1006
10-10-2017 80 23 71 1005
10-10-2017 85 22 72 1006
10-10-2017 90 22 72 1005
10-10-2017 95 23 71 1005
10-10-2017 100 23 71 1005
10-10-2017 105 23 71 1005
10-10-2017 110 23 72 1005
10-10-2017 115 23 72 1005
10-10-2017 120 23 72 1005
10-10-2017 125 23 72 1005
10-10-2017 130 22 73 1005
10-10-2017 135 22 73 1006
10-10-2017 140 22 73 1006
10-10-2017 145 22 73 1005
10-10-2017 150 22 74 1006
10-10-2017 155 22 74 1006
10-10-2017 160 22 74 1006
10-10-2017 165 22 74 1006
10-10-2017 170 22 74 1005
10-10-2017 175 21 75 1005
10-10-2017 180 21 75 1005
10-10-2017 185 21 75 1005
10-10-2017 190 21 75 1005
10-10-2017 195 21 75 1005
10-10-2017 200 21 75 1005
10-10-2017 205 21 76 1005
10-10-2017 210 21 76 1005
10-10-2017 215 21 76 1005
10-10-2017 220 21 76 1005
10-10-2017 225 21 76 1005
10-10-2017 230 21 78 1005
10-10-2017 235 21 78 1005
10-10-2017 240 21 78 1005
10-10-2017 245 21 78 1005
10-10-2017 250 21 78 1005
10-10-2017 255 21 78 1005
10-10-2017 260 21 79 1005
10-10-2017 265 21 79 1005
10-10-2017 270 21 79 1005
10-10-2017 275 21 79 1005
10-10-2017 280 21 79 1005
10-10-2017 285 21 79 1005
10-10-2017 290 21 79 1005
10-10-2017 295 21 79 1005
10-10-2017 300 21 79 1005
10-10-2017 305 21 79 1005
10-10-2017 310 21 79 1005
10-10-2017 315 21 79 1005
10-10-2017 320 21 79 1005
10-10-2017 325 21 79 1005
10-10-2017 330 21 79 1005
10-10-2017 335 21 79 1005
10-10-2017 340 21 79 1004
10-10-2017 345 21 79 1004
10-10-2017 350 21 79 1003
10-10-2017 355 21 79 1001
10-10-2017 360 21 79 1000
10-10-2017 365 21 79 1000
10-10-2017 370 21 79 996
10-10-2017 375 21 79 987
10-10-2017 380 21 79 981
10-10-2017 385 21 80 979
10-10-2017 390 21 80 980
10-10-2017 395 21 80 981
10-10-2017 400 21 80 982
10-10-2017 405 21 80 971
10-10-2017 410 21 80 952
10-10-2017 415 21 80 918
10-10-2017 420 21 80 869
10-10-2017 425 22 80 855
10-10-2017 430 21 80 875
10-10-2017 435 21 80 848
10-10-2017 440 21 80 830
10-10-2017 445 21 80 844
10-10-2017 450 21 80 888
10-10-2017 455 21 80 843
10-10-2017 460 21 80 840
10-10-2017 465 21 80 820
10-10-2017 470 21 80 792
10-10-2017 475 21 80 779
10-10-2017 480 21 80 752
10-10-2017 485 21 80 742
10-10-2017 490 21 80 718
10-10-2017 495 21 80 738
10-10-2017 500 21 80 729
10-10-2017 505 21 80 716
10-10-2017 510 21 80 718
10-10-2017 515 21 80 710
10-10-2017 520 21 80 682
10-10-2017 525 21 80 726
10-10-2017 530 21 80 704
10-10-2017 535 21 80 684
10-10-2017 540 21 80 692
10-10-2017 545 21 80 703
10-10-2017 550 21 80 725
10-10-2017 555 21 80 736
10-10-2017 560 21 80 737
10-10-2017 565 21 80 687
10-10-2017 570 21 80 725
10-10-2017 575 21 80 753
10-10-2017 580 21 80 787
10-10-2017 585 21 80 809
10-10-2017 590 21 80 812
10-10-2017 595 21 80 810
10-10-2017 600 21 80 819
10-10-2017 605 21 80 782
10-10-2017 610 21 80 750
10-10-2017 615 21 80 761
10-10-2017 620 21 80 778
10-10-2017 625 21 80 780
10-10-2017 630 21 80 760
10-10-2017 635 21 80 749
10-10-2017 640 21 80 756
10-10-2017 645 21 80 745
10-10-2017 650 21 80 648
10-10-2017 655 21 80 647
10-10-2017 660 21 80 619
10-10-2017 665 21 80 577
10-10-2017 670 21 80 531
10-10-2017 675 21 80 538
10-10-2017 680 21 80 472
10-10-2017 685 21 80 467
10-10-2017 690 21 80 474
10-10-2017 695 21 80 490
10-10-2017 700 21 79 396
10-10-2017 705 22 82 341
10-10-2017 710 22 82 333
10-10-2017 715 22 82 380
10-10-2017 720 22 82 363
10-10-2017 725 22 82 352
10-10-2017 730 23 81 340
10-10-2017 735 22 80 303
10-10-2017 740 22 80 294
10-10-2017 745 22 80 309
10-10-2017 750 22 80 331
10-10-2017 755 22 80 312
10-10-2017 760 22 80 328
10-10-2017 765 22 80 346
10-10-2017 770 22 80 360
10-10-2017 775 22 80 353
10-10-2017 780 22 80 449
10-10-2017 784 22 80 452
10-10-2017 789 23 81 441
10-10-2017 794 22 80 407
10-10-2017 799 22 80 404
10-10-2017 804 22 80 412
10-10-2017 809 22 80 366
10-10-2017 814 22 80 364
10-10-2017 819 22 80 381
10-10-2017 824 22 80 409
10-10-2017 829 22 79 420
10-10-2017 834 22 79 546
10-10-2017 839 22 79 411
10-10-2017 844 22 79 420
10-10-2017 849 22 79 416
10-10-2017 854 22 79 420
10-10-2017 859 22 79 388
10-10-2017 864 22 79 383
10-10-2017 869 23 81 375
10-10-2017 874 22 79 380
10-10-2017 879 22 79 374
10-10-2017 884 22 79 374
10-10-2017 889 22 79 402
10-10-2017 894 22 80 400
10-10-2017 899 22 79 384
10-10-2017 904 22 80 405
10-10-2017 909 22 80 382
10-10-2017 914 22 80 375
10-10-2017 919 22 79 383
10-10-2017 924 22 79 392
10-10-2017 929 22 79 395
10-10-2017 934 22 79 394
10-10-2017 939 22 79 407
10-10-2017 944 22 79 424
10-10-2017 949 22 79 429
10-10-2017 954 22 79 425
10-10-2017 959 22 74 427
10-10-2017 964 22 73 428
10-10-2017 969 23 71 432
10-10-2017 974 22 73 440
10-10-2017 979 23 72 451
10-10-2017 984 22 73 453
10-10-2017 989 23 71 451
10-10-2017 994 22 72 452
10-10-2017 999 23 72 434
10-10-2017 1004 23 71 447
10-10-2017 1009 23 71 447
10-10-2017 1014 23 70 449
10-10-2017 1019 22 72 450
10-10-2017 1024 22 72 449
10-10-2017 1029 21 71 449
10-10-2017 1034 22 72 435
10-10-2017 1039 21 70 433
10-10-2017 1044 21 70 437
10-10-2017 1049 21 70 438
10-10-2017 1054 21 70 432
10-10-2017 1059 21 70 433
10-10-2017 1064 21 69 433
10-10-2017 1069 21 70 438
10-10-2017 1074 21 69 434
10-10-2017 1079 21 70 436
10-10-2017 1084 21 69 430
10-10-2017 1089 21 69 439
10-10-2017 1094 22 69 437
10-10-2017 1099 21 69 454
10-10-2017 1104 21 69 451
10-10-2017 1109 21 69 451
10-10-2017 1114 23 67 452
10-10-2017 1119 21 69 450
10-10-2017 1124 21 69 452
10-10-2017 1129 21 69 450
10-10-2017 1134 21 69 448
10-10-2017 1139 21 69 453
10-10-2017 1144 21 69 450
10-10-2017 1149 21 69 450
10-10-2017 1154 23 69 451
10-10-2017 1159 21 69 452
10-10-2017 1164 21 69 453
10-10-2017 1169 22 69 451
10-10-2017 1174 21 69 448
10-10-2017 1179 21 69 452
10-10-2017 1184 21 69 448
10-10-2017 1189 21 69 448
10-10-2017 1194 21 69 453
10-10-2017 1199 21 70 450
10-10-2017 1204 21 70 450
10-10-2017 1209 21 70 451
10-10-2017 1214 23 69 455
10-10-2017 1219 21 70 453
10-10-2017 1224 23 70 449
10-10-2017 1229 23 70 456
10-10-2017 1234 23 70 454
10-10-2017 1239 23 70 453
10-10-2017 1244 23 70 452
10-10-2017 1249 23 70 452
10-10-2017 1254 22 72 448
10-10-2017 1259 23 70 451
10-10-2017 1264 23 70 452
10-10-2017 1269 22 72 448
10-10-2017 1274 21 71 446
10-10-2017 1279 22 72 448
10-10-2017 1284 22 72 452
10-10-2017 1289 22 72 448
10-10-2017 1294 22 72 452
10-10-2017 1299 23 71 448
10-10-2017 1304 23 71 448
10-10-2017 1309 23 71 451
10-10-2017 1314 23 71 450
10-10-2017 1319 23 72 454
10-10-2017 1324 22 73 450
10-10-2017 1329 22 73 452
10-10-2017 1334 23 72 452
10-10-2017 1339 23 72 453
10-10-2017 1344 22 73 449
10-10-2017 1349 23 71 450
10-10-2017 1354 22 72 450
10-10-2017 1359 23 70 451
10-10-2017 1364 23 70 450
10-10-2017 1369 23 70 454
10-10-2017 1374 23 70 454
10-10-2017 1379 23 70 452
10-10-2017 1384 21 70 451
10-10-2017 1389 23 70 450
10-10-2017 1394 21 70 453
10-10-2017 1399 23 69 452
10-10-2017 1404 23 70 449
10-10-2017 1409 23 70 449
10-10-2017 1414 23 70 975
10-10-2017 1419 23 70 968
10-10-2017 1424 23 70 1007
10-10-2017 1429 23 70 1006
10-10-2017 1434 22 72 1006
10-10-2017 1439 22 72 1006
11-10-2017 4 23 71 1006
11-10-2017 9 23 71 1006
11-10-2017 14 22 73 1006
11-10-2017 19 23 72 1006
11-10-2017 24 22 73 1006
11-10-2017 29 23 72 1006
11-10-2017 34 22 73 1006
11-10-2017 39 22 73 1006
11-10-2017 44 22 73 1006
11-10-2017 49 22 73 1006
11-10-2017 54 22 74 1006
11-10-2017 59 22 74 1006
11-10-2017 64 22 74 1006
11-10-2017 69 22 74 1006
11-10-2017 74 22 74 1006
11-10-2017 79 22 74 1006
11-10-2017 84 21 75 1006
11-10-2017 89 21 75 1006
11-10-2017 94 21 75 1006
11-10-2017 99 21 75 1005
11-10-2017 104 21 75 1005
11-10-2017 109 21 75 1006
11-10-2017 114 21 75 1006
11-10-2017 119 21 75 1006
11-10-2017 124 21 75 1006
11-10-2017 129 21 76 1006
11-10-2017 134 21 76 1006
11-10-2017 139 21 76 1006
11-10-2017 144 21 76 1006
11-10-2017 149 21 76 1005
11-10-2017 154 21 77 1006
11-10-2017 159 21 77 1006
11-10-2017 164 21 78 1006
11-10-2017 169 21 78 1005
